date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2023-09-20;2023;9;20;2;263;38;False;False;False
2023-09-21;2023;9;21;3;264;38;False;False;False
2023-09-22;2023;9;22;4;265;38;False;False;False
2023-09-23;2023;9;23;5;266;38;True;False;False
2023-09-24;2023;9;24;6;267;38;True;False;False
2023-09-25;2023;9;25;0;268;39;False;False;False
2023-09-26;2023;9;26;1;269;39;False;False;False
2023-09-27;2023;9;27;2;270;39;False;False;False
2023-09-28;2023;9;28;3;271;39;False;False;False
2023-09-29;2023;9;29;4;272;39;False;False;False
2023-09-30;2023;9;30;5;273;39;True;False;False
2023-10-01;2023;10;1;6;274;39;True;False;False
2023-10-02;2023;10;2;0;275;40;False;False;False
2023-10-03;2023;10;3;1;276;40;False;False;False
2023-10-04;2023;10;4;2;277;40;False;False;False
2023-10-05;2023;10;5;3;278;40;False;False;False
2023-10-06;2023;10;6;4;279;40;False;False;False
2023-10-07;2023;10;7;5;280;40;True;False;False
2023-10-08;2023;10;8;6;281;40;True;False;False
2023-10-09;2023;10;9;0;282;41;False;False;False
2023-10-10;2023;10;10;1;283;41;False;False;False
2023-10-11;2023;10;11;2;284;41;False;False;False
2023-10-12;2023;10;12;3;285;41;False;False;False
2023-10-13;2023;10;13;4;286;41;False;False;False
2023-10-14;2023;10;14;5;287;41;True;False;False
2023-10-15;2023;10;15;6;288;41;True;False;False
2023-10-16;2023;10;16;0;289;42;False;False;False
2023-10-17;2023;10;17;1;290;42;False;False;False
2023-10-18;2023;10;18;2;291;42;False;False;False
2023-10-19;2023;10;19;3;292;42;False;False;False
2023-10-20;2023;10;20;4;293;42;False;False;False
2023-10-21;2023;10;21;5;294;42;True;False;False
2023-10-22;2023;10;22;6;295;42;True;False;False
2023-10-23;2023;10;23;0;296;43;False;False;False
2023-10-24;2023;10;24;1;297;43;False;False;False
2023-10-25;2023;10;25;2;298;43;False;False;False
2023-10-26;2023;10;26;3;299;43;False;False;False
